params_types_unique	return_types_unique	image_types	images_types	unsupported_types	first_image_param_names	subsequent_image_param_names	signatures	signatures_filtered
							minEnclosingTriangle(points: cv2.typing.MatLike, triangle: cv2.typing.MatLike | None) -> tuple[float, cv2.typing.MatLike]	setTrackbarPos(trackbarname: str, winname: str, pos: int) -> None
							minEnclosingTriangle(points: UMat, triangle: UMat | None) -> tuple[float, UMat]	setUseOpenVX(flag: bool) -> None
							minMaxLoc(src: cv2.typing.MatLike, mask: cv2.typing.MatLike | None) -> tuple[float, float, cv2.typing.Point, cv2.typing.Point]	setUseOptimized(onoff: bool) -> None
							minMaxLoc(src: UMat, mask: UMat | None) -> tuple[float, float, cv2.typing.Point, cv2.typing.Point]	setWindowProperty(winname: str, prop_id: int, prop_value: float) -> None
							mixChannels(src: _typing.Sequence[cv2.typing.MatLike], dst: _typing.Sequence[cv2.typing.MatLike], fromTo: _typing.Sequence[int]) -> _typing.Sequence[cv2.typing.MatLike]	setWindowTitle(winname: str, title: str) -> None
							mixChannels(src: _typing.Sequence[UMat], dst: _typing.Sequence[UMat], fromTo: _typing.Sequence[int]) -> _typing.Sequence[UMat]	solve(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int) -> tuple[bool, cv2.typing.MatLike]
							moments(array: cv2.typing.MatLike, binaryImage: bool) -> cv2.typing.Moments	solve(src1: UMat, src2: UMat, dst: UMat | None, flags: int) -> tuple[bool, UMat]
							moments(array: UMat, binaryImage: bool) -> cv2.typing.Moments	solveCubic(coeffs: cv2.typing.MatLike, roots: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike]
							morphologyEx(src: cv2.typing.MatLike, op: int, kernel: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> cv2.typing.MatLike	solveCubic(coeffs: UMat, roots: UMat | None) -> tuple[int, UMat]
							morphologyEx(src: UMat, op: int, kernel: UMat, dst: UMat | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> UMat	solveLP(Func: cv2.typing.MatLike, Constr: cv2.typing.MatLike, constr_eps: float, z: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike]
							moveWindow(winname: str, x: int, y: int) -> None	solveLP(Func: UMat, Constr: UMat, constr_eps: float, z: UMat | None) -> tuple[int, UMat]
							mulSpectrums(a: cv2.typing.MatLike, b: cv2.typing.MatLike, flags: int, c: cv2.typing.MatLike | None, conjB: bool) -> cv2.typing.MatLike	solveLP(Func: cv2.typing.MatLike, Constr: cv2.typing.MatLike, z: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike]
							mulSpectrums(a: UMat, b: UMat, flags: int, c: UMat | None, conjB: bool) -> UMat	solveLP(Func: UMat, Constr: UMat, z: UMat | None) -> tuple[int, UMat]
							mulTransposed(src: cv2.typing.MatLike, aTa: bool, dst: cv2.typing.MatLike | None, delta: cv2.typing.MatLike | None, scale: float, dtype: int) -> cv2.typing.MatLike	solvePnP(objectPoints: cv2.typing.MatLike, imagePoints: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, rvec: cv2.typing.MatLike | None, tvec: cv2.typing.MatLike | None, useExtrinsicGuess: bool, flags: int) -> tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike]
							mulTransposed(src: UMat, aTa: bool, dst: UMat | None, delta: UMat | None, scale: float, dtype: int) -> UMat	solvePnP(objectPoints: UMat, imagePoints: UMat, cameraMatrix: UMat, distCoeffs: UMat, rvec: UMat | None, tvec: UMat | None, useExtrinsicGuess: bool, flags: int) -> tuple[bool, UMat, UMat]
							multiply(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, scale: float, dtype: int) -> cv2.typing.MatLike	solvePnPRansac(objectPoints: cv2.typing.MatLike, imagePoints: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, rvec: cv2.typing.MatLike | None, tvec: cv2.typing.MatLike | None, useExtrinsicGuess: bool, iterationsCount: int, reprojectionError: float, confidence: float, inliers: cv2.typing.MatLike | None, flags: int) -> tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
							multiply(src1: UMat, src2: UMat, dst: UMat | None, scale: float, dtype: int) -> UMat	solvePnPRansac(objectPoints: UMat, imagePoints: UMat, cameraMatrix: UMat, distCoeffs: UMat, rvec: UMat | None, tvec: UMat | None, useExtrinsicGuess: bool, iterationsCount: int, reprojectionError: float, confidence: float, inliers: UMat | None, flags: int) -> tuple[bool, UMat, UMat, UMat]
							namedWindow(winname: str, flags: int) -> None	solvePnPRefineLM(objectPoints: cv2.typing.MatLike, imagePoints: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, rvec: cv2.typing.MatLike, tvec: cv2.typing.MatLike, criteria: cv2.typing.TermCriteria) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							norm(src1: cv2.typing.MatLike, normType: int, mask: cv2.typing.MatLike | None) -> float	solvePnPRefineLM(objectPoints: UMat, imagePoints: UMat, cameraMatrix: UMat, distCoeffs: UMat, rvec: UMat, tvec: UMat, criteria: cv2.typing.TermCriteria) -> tuple[UMat, UMat]
							norm(src1: UMat, normType: int, mask: UMat | None) -> float	solvePnPRefineVVS(objectPoints: cv2.typing.MatLike, imagePoints: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, rvec: cv2.typing.MatLike, tvec: cv2.typing.MatLike, criteria: cv2.typing.TermCriteria, VVSlambda: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							norm(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, normType: int, mask: cv2.typing.MatLike | None) -> float	solvePnPRefineVVS(objectPoints: UMat, imagePoints: UMat, cameraMatrix: UMat, distCoeffs: UMat, rvec: UMat, tvec: UMat, criteria: cv2.typing.TermCriteria, VVSlambda: float) -> tuple[UMat, UMat]
							norm(src1: UMat, src2: UMat, normType: int, mask: UMat | None) -> float	solvePoly(coeffs: cv2.typing.MatLike, roots: cv2.typing.MatLike | None, maxIters: int) -> tuple[float, cv2.typing.MatLike]
							normalize(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, alpha: float, beta: float, norm_type: int, dtype: int, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	solvePoly(coeffs: UMat, roots: UMat | None, maxIters: int) -> tuple[float, UMat]
							normalize(src: UMat, dst: UMat, alpha: float, beta: float, norm_type: int, dtype: int, mask: UMat | None) -> UMat	sort(src: cv2.typing.MatLike, flags: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							patchNaNs(a: cv2.typing.MatLike, val: float) -> cv2.typing.MatLike	sort(src: UMat, flags: int, dst: UMat | None) -> UMat
							patchNaNs(a: UMat, val: float) -> UMat	sortIdx(src: cv2.typing.MatLike, flags: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							pencilSketch(src: cv2.typing.MatLike, dst1: cv2.typing.MatLike | None, dst2: cv2.typing.MatLike | None, sigma_s: float, sigma_r: float, shade_factor: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	sortIdx(src: UMat, flags: int, dst: UMat | None) -> UMat
							pencilSketch(src: UMat, dst1: UMat | None, dst2: UMat | None, sigma_s: float, sigma_r: float, shade_factor: float) -> tuple[UMat, UMat]	spatialGradient(src: cv2.typing.MatLike, dx: cv2.typing.MatLike | None, dy: cv2.typing.MatLike | None, ksize: int, borderType: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							perspectiveTransform(src: cv2.typing.MatLike, m: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	spatialGradient(src: UMat, dx: UMat | None, dy: UMat | None, ksize: int, borderType: int) -> tuple[UMat, UMat]
							perspectiveTransform(src: UMat, m: UMat, dst: UMat | None) -> UMat	sqrBoxFilter(src: cv2.typing.MatLike, ddepth: int, ksize: cv2.typing.Size, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, normalize: bool, borderType: int) -> cv2.typing.MatLike
							phase(x: cv2.typing.MatLike, y: cv2.typing.MatLike, angle: cv2.typing.MatLike | None, angleInDegrees: bool) -> cv2.typing.MatLike	sqrBoxFilter(src: UMat, ddepth: int, ksize: cv2.typing.Size, dst: UMat | None, anchor: cv2.typing.Point, normalize: bool, borderType: int) -> UMat
							phase(x: UMat, y: UMat, angle: UMat | None, angleInDegrees: bool) -> UMat	sqrt(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							phaseCorrelate(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, window: cv2.typing.MatLike | None) -> tuple[cv2.typing.Point2d, float]	sqrt(src: UMat, dst: UMat | None) -> UMat
							phaseCorrelate(src1: UMat, src2: UMat, window: UMat | None) -> tuple[cv2.typing.Point2d, float]	stackBlur(src: cv2.typing.MatLike, ksize: cv2.typing.Size, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							pointPolygonTest(contour: cv2.typing.MatLike, pt: cv2.typing.Point2f, measureDist: bool) -> float	stackBlur(src: UMat, ksize: cv2.typing.Size, dst: UMat | None) -> UMat
							pointPolygonTest(contour: UMat, pt: cv2.typing.Point2f, measureDist: bool) -> float	startWindowThread() -> int
							polarToCart(magnitude: cv2.typing.MatLike, angle: cv2.typing.MatLike, x: cv2.typing.MatLike | None, y: cv2.typing.MatLike | None, angleInDegrees: bool) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	stereoRectify(cameraMatrix1: cv2.typing.MatLike, distCoeffs1: cv2.typing.MatLike, cameraMatrix2: cv2.typing.MatLike, distCoeffs2: cv2.typing.MatLike, imageSize: cv2.typing.Size, R: cv2.typing.MatLike, T: cv2.typing.MatLike, R1: cv2.typing.MatLike | None, R2: cv2.typing.MatLike | None, P1: cv2.typing.MatLike | None, P2: cv2.typing.MatLike | None, Q: cv2.typing.MatLike | None, flags: int, alpha: float, newImageSize: cv2.typing.Size) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.Rect, cv2.typing.Rect]
							polarToCart(magnitude: UMat, angle: UMat, x: UMat | None, y: UMat | None, angleInDegrees: bool) -> tuple[UMat, UMat]	stereoRectify(cameraMatrix1: UMat, distCoeffs1: UMat, cameraMatrix2: UMat, distCoeffs2: UMat, imageSize: cv2.typing.Size, R: UMat, T: UMat, R1: UMat | None, R2: UMat | None, P1: UMat | None, P2: UMat | None, Q: UMat | None, flags: int, alpha: float, newImageSize: cv2.typing.Size) -> tuple[UMat, UMat, UMat, UMat, UMat, cv2.typing.Rect, cv2.typing.Rect]
							pollKey() -> int	stereoRectifyUncalibrated(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, F: cv2.typing.MatLike, imgSize: cv2.typing.Size, H1: cv2.typing.MatLike | None, H2: cv2.typing.MatLike | None, threshold: float) -> tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike]
							polylines(img: cv2.typing.MatLike, pts: _typing.Sequence[cv2.typing.MatLike], isClosed: bool, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> cv2.typing.MatLike	stereoRectifyUncalibrated(points1: UMat, points2: UMat, F: UMat, imgSize: cv2.typing.Size, H1: UMat | None, H2: UMat | None, threshold: float) -> tuple[bool, UMat, UMat]
							polylines(img: UMat, pts: _typing.Sequence[UMat], isClosed: bool, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> UMat	stylization(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, sigma_s: float, sigma_r: float) -> cv2.typing.MatLike
							pow(src: cv2.typing.MatLike, power: float, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	stylization(src: UMat, dst: UMat | None, sigma_s: float, sigma_r: float) -> UMat
							pow(src: UMat, power: float, dst: UMat | None) -> UMat	subtract(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None, dtype: int) -> cv2.typing.MatLike
							preCornerDetect(src: cv2.typing.MatLike, ksize: int, dst: cv2.typing.MatLike | None, borderType: int) -> cv2.typing.MatLike	subtract(src1: UMat, src2: UMat, dst: UMat | None, mask: UMat | None, dtype: int) -> UMat
							preCornerDetect(src: UMat, ksize: int, dst: UMat | None, borderType: int) -> UMat	sumElems(src: cv2.typing.MatLike) -> cv2.typing.Scalar
							projectPoints(objectPoints: cv2.typing.MatLike, rvec: cv2.typing.MatLike, tvec: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, imagePoints: cv2.typing.MatLike | None, jacobian: cv2.typing.MatLike | None, aspectRatio: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	sumElems(src: UMat) -> cv2.typing.Scalar
							projectPoints(objectPoints: UMat, rvec: UMat, tvec: UMat, cameraMatrix: UMat, distCoeffs: UMat, imagePoints: UMat | None, jacobian: UMat | None, aspectRatio: float) -> tuple[UMat, UMat]	textureFlattening(src: cv2.typing.MatLike, mask: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, low_threshold: float, high_threshold: float, kernel_size: int) -> cv2.typing.MatLike
							putText(img: cv2.typing.MatLike, text: str, org: cv2.typing.Point, fontFace: int, fontScale: float, color: cv2.typing.Scalar, thickness: int, lineType: int, bottomLeftOrigin: bool) -> cv2.typing.MatLike	textureFlattening(src: UMat, mask: UMat, dst: UMat | None, low_threshold: float, high_threshold: float, kernel_size: int) -> UMat
							putText(img: UMat, text: str, org: cv2.typing.Point, fontFace: int, fontScale: float, color: cv2.typing.Scalar, thickness: int, lineType: int, bottomLeftOrigin: bool) -> UMat	threshold(src: cv2.typing.MatLike, thresh: float, maxval: float, type: int, dst: cv2.typing.MatLike | None) -> tuple[float, cv2.typing.MatLike]
							pyrDown(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, dstsize: cv2.typing.Size, borderType: int) -> cv2.typing.MatLike	threshold(src: UMat, thresh: float, maxval: float, type: int, dst: UMat | None) -> tuple[float, UMat]
							pyrDown(src: UMat, dst: UMat | None, dstsize: cv2.typing.Size, borderType: int) -> UMat	trace(mtx: cv2.typing.MatLike) -> cv2.typing.Scalar
							pyrMeanShiftFiltering(src: cv2.typing.MatLike, sp: float, sr: float, dst: cv2.typing.MatLike | None, maxLevel: int, termcrit: cv2.typing.TermCriteria) -> cv2.typing.MatLike	trace(mtx: UMat) -> cv2.typing.Scalar
							pyrMeanShiftFiltering(src: UMat, sp: float, sr: float, dst: UMat | None, maxLevel: int, termcrit: cv2.typing.TermCriteria) -> UMat	transform(src: cv2.typing.MatLike, m: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							pyrUp(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, dstsize: cv2.typing.Size, borderType: int) -> cv2.typing.MatLike	transform(src: UMat, m: UMat, dst: UMat | None) -> UMat
							pyrUp(src: UMat, dst: UMat | None, dstsize: cv2.typing.Size, borderType: int) -> UMat	transpose(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							randShuffle(dst: cv2.typing.MatLike, iterFactor: float) -> cv2.typing.MatLike	transpose(src: UMat, dst: UMat | None) -> UMat
							randShuffle(dst: UMat, iterFactor: float) -> UMat	triangulatePoints(projMatr1: cv2.typing.MatLike, projMatr2: cv2.typing.MatLike, projPoints1: cv2.typing.MatLike, projPoints2: cv2.typing.MatLike, points4D: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							randn(dst: cv2.typing.MatLike, mean: cv2.typing.MatLike, stddev: cv2.typing.MatLike) -> cv2.typing.MatLike	triangulatePoints(projMatr1: UMat, projMatr2: UMat, projPoints1: UMat, projPoints2: UMat, points4D: UMat | None) -> UMat
							randn(dst: UMat, mean: UMat, stddev: UMat) -> UMat	undistort(src: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, newCameraMatrix: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							randu(dst: cv2.typing.MatLike, low: cv2.typing.MatLike, high: cv2.typing.MatLike) -> cv2.typing.MatLike	undistort(src: UMat, cameraMatrix: UMat, distCoeffs: UMat, dst: UMat | None, newCameraMatrix: UMat | None) -> UMat
							randu(dst: UMat, low: UMat, high: UMat) -> UMat	undistortImagePoints(src: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, arg1: cv2.typing.TermCriteria) -> cv2.typing.MatLike
							readOpticalFlow(path: str) -> cv2.typing.MatLike	undistortImagePoints(src: UMat, cameraMatrix: UMat, distCoeffs: UMat, dst: UMat | None, arg1: cv2.typing.TermCriteria) -> UMat
							recoverPose(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, cameraMatrix1: cv2.typing.MatLike, distCoeffs1: cv2.typing.MatLike, cameraMatrix2: cv2.typing.MatLike, distCoeffs2: cv2.typing.MatLike, E: cv2.typing.MatLike | None, R: cv2.typing.MatLike | None, t: cv2.typing.MatLike | None, method: int, prob: float, threshold: float, mask: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	undistortPoints(src: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, R: cv2.typing.MatLike | None, P: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							recoverPose(points1: UMat, points2: UMat, cameraMatrix1: UMat, distCoeffs1: UMat, cameraMatrix2: UMat, distCoeffs2: UMat, E: UMat | None, R: UMat | None, t: UMat | None, method: int, prob: float, threshold: float, mask: UMat | None) -> tuple[int, UMat, UMat, UMat, UMat]	undistortPoints(src: UMat, cameraMatrix: UMat, distCoeffs: UMat, dst: UMat | None, R: UMat | None, P: UMat | None) -> UMat
							recoverPose(E: cv2.typing.MatLike, points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, R: cv2.typing.MatLike | None, t: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	undistortPointsIter(src: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, R: cv2.typing.MatLike, P: cv2.typing.MatLike, criteria: cv2.typing.TermCriteria, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							recoverPose(E: UMat, points1: UMat, points2: UMat, cameraMatrix: UMat, R: UMat | None, t: UMat | None, mask: UMat | None) -> tuple[int, UMat, UMat, UMat]	undistortPointsIter(src: UMat, cameraMatrix: UMat, distCoeffs: UMat, R: UMat, P: UMat, criteria: cv2.typing.TermCriteria, dst: UMat | None) -> UMat
							recoverPose(E: cv2.typing.MatLike, points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, R: cv2.typing.MatLike | None, t: cv2.typing.MatLike | None, focal: float, pp: cv2.typing.Point2d, mask: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	useOpenVX() -> bool
							recoverPose(E: UMat, points1: UMat, points2: UMat, R: UMat | None, t: UMat | None, focal: float, pp: cv2.typing.Point2d, mask: UMat | None) -> tuple[int, UMat, UMat, UMat]	useOptimized() -> bool
							recoverPose(E: cv2.typing.MatLike, points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distanceThresh: float, R: cv2.typing.MatLike | None, t: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None, triangulatedPoints: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	validateDisparity(disparity: cv2.typing.MatLike, cost: cv2.typing.MatLike, minDisparity: int, numberOfDisparities: int, disp12MaxDisp: int) -> cv2.typing.MatLike
							recoverPose(E: UMat, points1: UMat, points2: UMat, cameraMatrix: UMat, distanceThresh: float, R: UMat | None, t: UMat | None, mask: UMat | None, triangulatedPoints: UMat | None) -> tuple[int, UMat, UMat, UMat, UMat]	validateDisparity(disparity: UMat, cost: UMat, minDisparity: int, numberOfDisparities: int, disp12MaxDisp: int) -> UMat
							rectangle(img: cv2.typing.MatLike, pt1: cv2.typing.Point, pt2: cv2.typing.Point, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> cv2.typing.MatLike	waitKey(delay: int) -> int
							rectangle(img: UMat, pt1: cv2.typing.Point, pt2: cv2.typing.Point, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> UMat	waitKeyEx(delay: int) -> int
							rectangle(img: cv2.typing.MatLike, rec: cv2.typing.Rect, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> cv2.typing.MatLike	warpAffine(src: cv2.typing.MatLike, M: cv2.typing.MatLike, dsize: cv2.typing.Size, dst: cv2.typing.MatLike | None, flags: int, borderMode: int, borderValue: cv2.typing.Scalar) -> cv2.typing.MatLike
							rectangle(img: UMat, rec: cv2.typing.Rect, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> UMat	warpAffine(src: UMat, M: UMat, dsize: cv2.typing.Size, dst: UMat | None, flags: int, borderMode: int, borderValue: cv2.typing.Scalar) -> UMat
							rectangleIntersectionArea(a: cv2.typing.Rect2d, b: cv2.typing.Rect2d) -> float	warpPerspective(src: cv2.typing.MatLike, M: cv2.typing.MatLike, dsize: cv2.typing.Size, dst: cv2.typing.MatLike | None, flags: int, borderMode: int, borderValue: cv2.typing.Scalar) -> cv2.typing.MatLike
							rectify3Collinear(cameraMatrix1: cv2.typing.MatLike, distCoeffs1: cv2.typing.MatLike, cameraMatrix2: cv2.typing.MatLike, distCoeffs2: cv2.typing.MatLike, cameraMatrix3: cv2.typing.MatLike, distCoeffs3: cv2.typing.MatLike, imgpt1: _typing.Sequence[cv2.typing.MatLike], imgpt3: _typing.Sequence[cv2.typing.MatLike], imageSize: cv2.typing.Size, R12: cv2.typing.MatLike, T12: cv2.typing.MatLike, R13: cv2.typing.MatLike, T13: cv2.typing.MatLike, alpha: float, newImgSize: cv2.typing.Size, flags: int, R1: cv2.typing.MatLike | None, R2: cv2.typing.MatLike | None, R3: cv2.typing.MatLike | None, P1: cv2.typing.MatLike | None, P2: cv2.typing.MatLike | None, P3: cv2.typing.MatLike | None, Q: cv2.typing.MatLike | None) -> tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.Rect, cv2.typing.Rect]	warpPerspective(src: UMat, M: UMat, dsize: cv2.typing.Size, dst: UMat | None, flags: int, borderMode: int, borderValue: cv2.typing.Scalar) -> UMat
							rectify3Collinear(cameraMatrix1: UMat, distCoeffs1: UMat, cameraMatrix2: UMat, distCoeffs2: UMat, cameraMatrix3: UMat, distCoeffs3: UMat, imgpt1: _typing.Sequence[UMat], imgpt3: _typing.Sequence[UMat], imageSize: cv2.typing.Size, R12: UMat, T12: UMat, R13: UMat, T13: UMat, alpha: float, newImgSize: cv2.typing.Size, flags: int, R1: UMat | None, R2: UMat | None, R3: UMat | None, P1: UMat | None, P2: UMat | None, P3: UMat | None, Q: UMat | None) -> tuple[float, UMat, UMat, UMat, UMat, UMat, UMat, UMat, cv2.typing.Rect, cv2.typing.Rect]	warpPolar(src: cv2.typing.MatLike, dsize: cv2.typing.Size, center: cv2.typing.Point2f, maxRadius: float, flags: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							reduce(src: cv2.typing.MatLike, dim: int, rtype: int, dst: cv2.typing.MatLike | None, dtype: int) -> cv2.typing.MatLike	warpPolar(src: UMat, dsize: cv2.typing.Size, center: cv2.typing.Point2f, maxRadius: float, flags: int, dst: UMat | None) -> UMat
							reduce(src: UMat, dim: int, rtype: int, dst: UMat | None, dtype: int) -> UMat	watershed(image: cv2.typing.MatLike, markers: cv2.typing.MatLike) -> cv2.typing.MatLike
							reduceArgMax(src: cv2.typing.MatLike, axis: int, dst: cv2.typing.MatLike | None, lastIndex: bool) -> cv2.typing.MatLike	watershed(image: UMat, markers: UMat) -> UMat
							reduceArgMax(src: UMat, axis: int, dst: UMat | None, lastIndex: bool) -> UMat	writeOpticalFlow(path: str, flow: cv2.typing.MatLike) -> bool
							reduceArgMin(src: cv2.typing.MatLike, axis: int, dst: cv2.typing.MatLike | None, lastIndex: bool) -> cv2.typing.MatLike	writeOpticalFlow(path: str, flow: UMat) -> bool
							reduceArgMin(src: UMat, axis: int, dst: UMat | None, lastIndex: bool) -> UMat	CV_8UC(channels: int) -> int
							remap(src: cv2.typing.MatLike, map1: cv2.typing.MatLike, map2: cv2.typing.MatLike, interpolation: int, dst: cv2.typing.MatLike | None, borderMode: int, borderValue: cv2.typing.Scalar) -> cv2.typing.MatLike	CV_8SC(channels: int) -> int
							remap(src: UMat, map1: UMat, map2: UMat, interpolation: int, dst: UMat | None, borderMode: int, borderValue: cv2.typing.Scalar) -> UMat	CV_16UC(channels: int) -> int
							repeat(src: cv2.typing.MatLike, ny: int, nx: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	CV_16SC(channels: int) -> int
							repeat(src: UMat, ny: int, nx: int, dst: UMat | None) -> UMat	CV_32SC(channels: int) -> int
							reprojectImageTo3D(disparity: cv2.typing.MatLike, Q: cv2.typing.MatLike, _3dImage: cv2.typing.MatLike | None, handleMissingValues: bool, ddepth: int) -> cv2.typing.MatLike	CV_32FC(channels: int) -> int
							reprojectImageTo3D(disparity: UMat, Q: UMat, _3dImage: UMat | None, handleMissingValues: bool, ddepth: int) -> UMat	CV_64FC(channels: int) -> int
							resize(src: cv2.typing.MatLike, dsize: cv2.typing.Size | None, dst: cv2.typing.MatLike | None, fx: float, fy: float, interpolation: int) -> cv2.typing.MatLike	CV_16FC(channels: int) -> int
							resize(src: UMat, dsize: cv2.typing.Size | None, dst: UMat | None, fx: float, fy: float, interpolation: int) -> UMat	CV_MAKETYPE(depth: int, channels: int) -> int
							resizeWindow(winname: str, width: int, height: int) -> None	dnn_unregisterLayer(layerTypeName: str) -> None
							resizeWindow(winname: str, size: cv2.typing.Size) -> None	
							rotate(src: cv2.typing.MatLike, rotateCode: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	
							rotate(src: UMat, rotateCode: int, dst: UMat | None) -> UMat	
							rotatedRectangleIntersection(rect1: cv2.typing.RotatedRect, rect2: cv2.typing.RotatedRect, intersectingRegion: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike]	
							rotatedRectangleIntersection(rect1: cv2.typing.RotatedRect, rect2: cv2.typing.RotatedRect, intersectingRegion: UMat | None) -> tuple[int, UMat]	
							sampsonDistance(pt1: cv2.typing.MatLike, pt2: cv2.typing.MatLike, F: cv2.typing.MatLike) -> float	
							sampsonDistance(pt1: UMat, pt2: UMat, F: UMat) -> float	
							scaleAdd(src1: cv2.typing.MatLike, alpha: float, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	
							scaleAdd(src1: UMat, alpha: float, src2: UMat, dst: UMat | None) -> UMat	
